year	DOY
2013	120
2013	148
2013	176
2013	204
2013	232
2013	260
2013	288
2013	316
2014	105
2014	133
2014	161
2014	189
2014	217
2014	245
2014	273
2014	301
2015	104
2015	132
2015	160
2015	188
2015	216
2015	244
2015	272
2015	300
2015	328
2016	103
2016	131
2016	159
2016	187
2016	215
2016	243
2016	271
2016	299
2017	101
2017	129
2017	157
2017	185
2017	212
2017	241
2017	270
2017	297
2018	114
2018	142
2018	170
2018	198
2018	226
2018	254
2018	282
2018	310
2019	99
2019	127
2019	155
2019	183
2019	211
2019	239
2019	267
2019	295
2020	98
2020	126
2020	154
2020	182
2020	210
2020	238
2020	266
2020	294
2020	322
2021	103
2021	131
2021	159
2021	187
2021	215
2021	243
2021	271
2021	299
2022	109
2022	137
2022	165
2022	193
2022	221
2022	249
2022	277
2022	305
