date,year,DOY,dBM
2013-04-16,2013,106,4.85
2013-04-30,2013,120,56.07
2013-05-14,2013,134,91.6
2013-05-28,2013,148,41.76
2013-06-11,2013,162,16.34
2013-06-25,2013,176,30.68
2013-07-09,2013,190,39.45
2013-07-23,2013,204,23.28
2013-08-06,2013,218,21.96
2013-08-20,2013,232,24.95
2013-09-03,2013,246,27.18
2013-09-17,2013,260,30.91
2013-10-01,2013,274,21.96
2013-10-15,2013,288,17.81
2013-10-29,2013,302,6.65
2013-11-12,2013,316,NA
2014-04-01,2014,91,0.3
2014-04-15,2014,105,21.53
2014-04-29,2014,119,52.72
2014-05-13,2014,133,33.71
2014-05-27,2014,147,25.88
2014-06-10,2014,161,21.53
2014-06-24,2014,175,30.7
2014-07-08,2014,189,26.62
2014-07-22,2014,203,30.29
2014-08-05,2014,217,51.91
2014-08-19,2014,231,55.41
2014-09-02,2014,245,34.59
2014-09-16,2014,259,25.08
2014-09-30,2014,273,25.96
2014-10-14,2014,287,18.15
2014-10-28,2014,301,8.88
2015-03-31,2015,90,NA
2015-04-14,2015,104,2.25
2015-04-28,2015,118,19.7
2015-05-12,2015,132,60.63
2015-05-26,2015,146,43.36
2015-06-09,2015,160,27.8
2015-06-23,2015,174,36.68
2015-07-07,2015,188,18.07
2015-07-21,2015,202,7.62
2015-08-04,2015,216,8.18
2015-08-18,2015,230,24.79
2015-09-01,2015,244,35.92
2015-09-15,2015,258,38.93
2015-09-29,2015,272,21.63
2015-10-13,2015,286,7.74
2015-10-27,2015,300,9.2
2015-11-10,2015,314,3.05
2015-11-24,2015,328,NA
2016-03-29,2016,89,NA
2016-04-12,2016,103,36
2016-04-26,2016,117,90.09
2016-05-10,2016,131,92.27
2016-05-24,2016,145,48.1
2016-06-07,2016,159,34.19
2016-06-21,2016,173,43.98
2016-07-05,2016,187,38.9
2016-07-19,2016,201,52.15
2016-08-02,2016,215,46.16
2016-08-16,2016,229,57.5
2016-08-30,2016,243,47.91
2016-09-13,2016,257,48.78
2016-09-27,2016,271,30.26
2016-10-11,2016,285,22.54
2016-10-25,2016,299,6.9
2017-03-27,2017,86,15.51
2017-04-10,2017,100,71.62
2017-04-25,2017,115,75.86
2017-05-09,2017,129,20.18
2017-05-23,2017,143,39.1
2017-06-06,2017,157,59.86
2017-06-20,2017,171,70.53
2017-07-04,2017,185,52.39
2017-07-18,2017,199,49.16
2017-07-31,2017,212,52.36
2017-08-14,2017,226,47.1
2017-08-29,2017,241,44.73
2017-09-12,2017,255,33.08
2017-09-27,2017,270,14.93
2017-10-10,2017,283,9.28
2017-10-24,2017,297,6.71
2018-04-10,2018,100,1.52
2018-04-24,2018,114,38.55
2018-05-08,2018,128,86.12
2018-05-22,2018,142,54.26
2018-06-05,2018,156,43.62
2018-06-19,2018,170,39.6
2018-07-03,2018,184,36.29
2018-07-17,2018,198,35.88
2018-07-31,2018,212,22.6
2018-08-14,2018,226,8.8
2018-08-28,2018,240,9.7
2018-09-11,2018,254,16.32
2018-09-25,2018,268,13.34
2018-10-09,2018,282,1.78
2018-10-23,2018,296,NA
2018-11-06,2018,310,NA
2019-03-26,2019,85,NA
2019-04-09,2019,99,NA
2019-04-23,2019,113,9.5
2019-05-07,2019,127,29.7
2019-05-21,2019,141,31.39
2019-06-04,2019,155,41.71
2019-06-18,2019,169,47.44
2019-07-02,2019,183,23.84
2019-07-16,2019,197,17
2019-07-30,2019,211,5.66
2019-08-13,2019,225,9.43
2019-08-27,2019,239,12.23
2019-09-10,2019,253,7.5
2019-09-24,2019,267,10.31
2019-10-08,2019,281,4.55
2019-10-22,2019,295,1.49
2019-11-05,2019,309,NA
2020-03-24,2020,84,NA
2020-04-07,2020,98,NA
2020-04-21,2020,112,NA
2020-05-05,2020,126,NA
2020-05-19,2020,140,NA
2020-06-02,2020,154,NA
2020-06-16,2020,168,NA
2020-06-30,2020,182,NA
2020-07-14,2020,196,NA
2020-07-28,2020,210,NA
2020-08-11,2020,224,NA
2020-08-25,2020,238,NA
2020-09-08,2020,252,NA
2020-09-22,2020,266,NA
2020-10-06,2020,280,NA
2020-10-20,2020,294,NA
2020-11-03,2020,308,NA
2020-11-17,2020,322,NA
2021-03-30,2021,89,2.35
2021-04-13,2021,103,5.27
2021-04-27,2021,117,30.85
2021-05-11,2021,131,43.85
2021-05-25,2021,145,63.45
2021-06-08,2021,159,42.69
2021-06-22,2021,173,42
2021-07-06,2021,187,31.35
2021-07-20,2021,201,30.54
2021-08-03,2021,215,36.72
2021-08-17,2021,229,42.15
2021-08-31,2021,243,27.32
2021-09-14,2021,257,15.99
2021-09-28,2021,271,3.93
2021-10-12,2021,285,8.32
2021-10-26,2021,299,1.09
2022-04-07,2022,97,5.22
2022-04-19,2022,109,23.65
2022-05-03,2022,123,71.74
2022-05-17,2022,137,85.11
2022-05-31,2022,151,69.6
2022-06-14,2022,165,34.47
2022-06-28,2022,179,32.55
2022-07-12,2022,193,32.84
2022-07-26,2022,207,40.8
2022-08-09,2022,221,17.63
2022-08-23,2022,235,19.31
2022-09-06,2022,249,24.52
2022-09-20,2022,263,60.12
2022-10-04,2022,277,27.29
2022-10-18,2022,291,18.04
2022-11-01,2022,305,14.56
2022-11-15,2022,319,9.46
