year	DOY
2013	106
2013	134
2013	162
2013	190
2013	218
2013	246
2013	274
2013	302
2014	91
2014	119
2014	147
2014	175
2014	203
2014	231
2014	259
2014	287
2015	118
2015	146
2015	174
2015	202
2015	230
2015	258
2015	286
2015	314
2016	117
2016	145
2016	173
2016	201
2016	229
2016	257
2016	285
2017	87
2017	115
2017	143
2017	171
2017	199
2017	226
2017	255
2017	283
2018	100
2018	128
2018	156
2018	184
2018	212
2018	240
2018	268
2019	113
2019	141
2019	169
2019	197
2019	225
2019	253
2019	281
2020	84
2020	112
2020	140
2020	168
2020	196
2020	224
2020	252
2020	280
2020	308
2021	89
2021	117
2021	145
2021	173
2021	201
2021	229
2021	257
2021	285
2022	97
2022	123
2022	151
2022	179
2022	207
2022	235
2022	263
2022	291
2022	319
