year		DOY		Ta		Tmin		Tmax		precip		rSSD		SRad		ET0		snow		PAR
2013		1		2.84		-2.46		6.74		4.54		0.04		16.82		0.57		1		0.68
2013		2		1.28		-1.92		4.08		0.01		0.4		52.84		0.43		0.01		2.15
2013		3		0.67		-2.53		3.47		0.26		0.29		43.59		0.42		0.23		1.77
2013		4		3.34		0.34		7.83		0.01		0.28		42.93		0.54		0		1.74
2013		5		5.61		4.31		8.11		0		0.25		40.32		0.43		0		1.64
2013		6		3.95		2.24		6.25		0		0.4		54.28		0.41		0		2.2
2013		7		1.76		0.66		2.66		0		0		12.5		0.26		0		0.51
2013		8		-0.41		-2.61		4.39		0		0.63		71.57		0.44		0		2.91
2013		9		-1.97		-4.87		3.03		0.72		0.11		26.29		0.43		0.72		1.07
2013		10		1.11		-2.28		3.91		13.63		0		12.82		0.46		10.79		0.52
2013		11		2.42		0.92		4.12		3.88		0		12.94		0.35		1.88		0.53
2013		12		1.36		-0.34		3.56		1.43		0.6		72.31		0.37		1.03		2.94
2013		13		0.25		-0.35		0.75		0.01		0		13.19		0.19		0.01		0.54
2013		14		0.07		-0.93		0.87		0.11		0		13.32		0.24		0.1		0.54
2013		15		-1.35		-2.25		-0.25		1.38		0		13.46		0.24		1.48		0.55
2013		16		-3.8		-5.8		-1.8		0.13		0.3		49.87		0.29		1.61		2.03
2013		17		-5.43		-7.23		-3.43		0.04		0.19		38.24		0.25		1.65		1.55
2013		18		-7.02		-10.82		-3.92		1.76		0.61		77.72		0.3		3.41		3.16
2013		19		-3.44		-5.74		-1.64		5.28		0		14.08		0.31		8.69		0.57
2013		20		-0.91		-2.91		0.79		0.8		0.02		17.13		0.35		9.21		0.7
2013		21		0.8		-1.4		3.4		0.01		0.01		15.88		0.45		3.82		0.64
2013		22		0.86		-5.44		4.16		0		0.82		93.5		0.64		0		3.8
2013		23		-3.37		-7.47		1.72		0		0.88		97.08		0.49		0		3.94
2013		24		-3.59		-7.39		-1.59		0		0		14.97		0.39		0		0.61
2013		25		-3.13		-7.73		-1.43		0		0.08		27.11		0.42		0		1.1
2013		26		-6.29		-11.09		-0.69		0		0.74		94.29		0.43		0		3.83
2013		27		-1.27		-8.57		4.73		12.32		0.22		47.18		0.71		12.24		1.92
2013		28		2.34		0.44		5.64		0.02		0.7		94.39		0.55		2.23		3.83
2013		29		4.25		0.75		6.95		4.16		0.01		17.61		0.67		0.14		0.72
2013		30		9.11		4.91		14.01		6.02		0		16.21		1		0		0.66
2013		31		6.71		2.41		9.41		0.6		0.68		96.97		0.81		0		3.94
2013		32		7.51		5.41		9.61		21.85		0		16.66		0.66		0.01		0.68
2013		33		2.4		-1.2		9.1		3.74		0.02		20.31		0.83		1.33		0.82
2013		34		-0.28		-2.28		2.22		0.9		0.24		54.74		0.48		0.87		2.22
2013		35		3.87		0.07		6.67		0.41		0.01		19.14		0.73		0.02		0.78
2013		36		4.13		-0.17		6.73		7.66		0.15		42.85		0.77		0.3		1.74
2013		37		-0.04		-1.54		1.86		3.56		0		17.88		0.44		3.4		0.73
2013		38		-1.71		-3.51		0.39		2.84		0.18		48.85		0.44		6.24		1.98
2013		39		-2.21		-4.31		0.19		0.74		0.39		79.28		0.46		6.98		3.22
2013		40		-4.31		-9.21		-1.01		0.03		0.37		77.87		0.55		7.01		3.16
2013		41		-6.6		-11.8		-2.51		0.79		0.9		125.3		0.49		7.8		5.09
2013		42		-2.47		-5.07		0.03		8.42		0.01		21.17		0.5		16.22		0.86
2013		43		-1.75		-2.85		-0.85		1.41		0		19.49		0.34		17.63		0.79
2013		44		-3.44		-5.45		-2.14		0.01		0		19.78		0.39		17.64		0.8
2013		45		-5.53		-12.03		-1.83		0.19		0.24		64.1		0.6		17.83		2.6
2013		46		0.46		-2.54		3.56		0.26		0.01		22.43		0.7		13.69		0.91
2013		47		-0.99		-4.89		3.01		0.01		0.46		98.33		0.74		13.67		3.99
2013		48		-2.35		-6.45		2.15		0.01		0.47		101.04		0.72		13.68		4.1
2013		49		-2.53		-7.53		2.76		0		0.97		143.57		0.79		13.68		5.83
2013		50		-1.28		-7.58		4.62		0		0.92		143.61		0.94		13.68		5.83
2013		51		0.34		-1.87		3.04		0		0.3		80.15		0.67		9.66		3.25
2013		52		-2.85		-3.85		-1.65		0		0		22.19		0.37		9.66		0.9
2013		53		-4.82		-6.52		-3.82		0.06		0		22.5		0.36		9.72		0.91
2013		54		-5.44		-7.04		-3.84		0.54		0		22.82		0.38		10.26		0.93
2013		55		-4.99		-6.49		-2.89		0.21		0.08		41.38		0.43		10.47		1.68
2013		56		-5.11		-8.11		-2.21		0.01		0.56		125.17		0.55		10.48		5.08
2013		57		-5.5		-10.3		-0.8		0.01		0.38		100.94		0.68		10.49		4.1
2013		58		-2.16		-6.36		1.84		0		0.26		80.96		0.82		10.49		3.29
2013		59		-0.6		-5.4		4.9		0		0.77		152.82		1.02		9.29		6.21
2013		60		-1.96		-6.06		1.23		0		0.12		53.6		0.8		9.29		2.18
2013		61		-0.58		-1.28		0.32		0		0		25.15		0.42		8.03		1.02
2013		62		-0.77		-2.97		2.73		0.01		0.42		114.89		0.79		7.35		4.67
2013		63		0.66		-5.04		8.06		0		0.9		170.9		1.31		2.37		6.94
2013		64		2		-4		9.3		0		0.01		28.84		1.43		0		1.17
2013		65		4.02		-1.68		10.32		0		0		26.52		1.52		0		1.08
2013		66		6.06		1.26		11.46		0		0.1		53.1		1.55		0		2.16
2013		67		4.88		-0.42		8.08		4.34		0		27.22		1.36		0.06		1.11
2013		68		6.64		1.54		11.64		0		0.27		94.68		1.62		0		3.84
2013		69		6.75		2.35		11.95		2.28		0.17		72.81		1.61		0		2.96
2013		70		6.46		2.06		10.36		0.4		0.29		101.49		1.5		0		4.12
2013		71		5.19		0.99		10.69		0.12		0.19		79.6		1.55		0		3.23
2013		72		-0.12		-2.62		2.88		3.2		0		29		0.91		3.07		1.18
2013		73		-3.15		-5.45		-0.85		0.23		0.46		139.77		0.7		3.3		5.68
2013		74		-3.21		-7.01		0.49		0.01		0.77		185.59		0.9		3.31		7.54
2013		75		-0.88		-7.88		4.12		0.12		0.54		157.15		1.34		3.07		6.38
2013		76		1.99		-0.51		4.29		11.38		0		30.44		1		5.73		1.24
2013		77		1.34		0.24		3.24		8.44		0		30.8		0.77		6.15		1.25
2013		78		3.46		0.86		7.16		0.23		0.49		153.97		1.26		0.02		6.25
2013		79		3.3		0.3		7.3		2.01		0.15		76.62		1.33		0.25		3.11
2013		80		4.53		1.83		7.93		0.01		0.46		151.77		1.33		0		6.16
2013		81		5.82		0.02		11.82		0		0.7		192.92		1.98		0		7.83
2013		82		4.71		1.71		7.11		0.12		0		32.6		1.29		0		1.32
2013		83		1.48		-0.12		3.58		1.09		0		32.96		0.93		0.75		1.34
2013		84		0.03		-1.07		1.23		0.71		0		33.32		0.68		0.67		1.35
2013		85		-1.16		-1.76		-0.26		2.61		0		33.68		0.52		3.27		1.37
2013		86		0.45		-2.35		5.04		0.76		0.18		91.67		1.28		0.69		3.72
2013		87		1.99		-0.91		3.99		17.27		0		34.39		1.14		8.7		1.4
2013		88		0.5		0.1		1.21		15.14		0		34.75		0.51		17.9		1.41
2013		89		2.5		0.4		4.9		12.58		0		35.1		1.15		11.43		1.43
2013		90		1.06		-1.15		3.76		0.2		0.01		39.06		1.12		5.41		1.59
2013		91		1.71		-1.09		4.91		0.01		0.25		117.27		1.3		0.01		4.76
2013		92		3.03		-0.27		8.23		0		0.51		182.87		1.66		0		7.43
2013		93		3.24		0.64		7.84		0		0.32		139.21		1.56		0		5.65
2013		94		3.97		1.77		6.77		0		0		36.85		1.36		0		1.5
